group_type,sst_bin,region,omega_bin,n_samples,n_raw_profiles_total,mean_profiles_per_sample,dlnq_mean_of_samples,dlnq_median_of_samples,dlnq_std,dlnq_p10,dlnq_p25,dlnq_p75,dlnq_p90,dlnq_iqr,q_uut_mean_group,q_uut_median_group,q_uut_p25,q_uut_p75,q_lut_mean_group,q_lut_median_group,q_lut_p25,q_lut_p75,mean_sst_group_mean,mean_sst_group_median,mean_omega_group_mean,mean_omega_group_median,mean_olr_group_mean,mean_olr_group_median,dominant_olr_fraction_group_mean,dominant_olr_fraction_group_median,dominant_olr_bin_group,dominant_olr_bin_group_fraction,sst_sort_lo,sst_sort_hi,omega_sort,reference_sst_bin,delta_dlnq_mean_vs_ref,delta_dlnq_median_vs_ref,delta_q_uut_mean_vs_ref,delta_q_lut_mean_vs_ref,delta_mean_olr_vs_ref
sst_omega,sst_299_299.5,,strong_ascent,397,33426.0,84.19647355163728,-1.7167018881672875,-1.7304399013519287,0.35275154156045324,-2.1691038608551025,-1.9339669942855835,-1.495816707611084,-1.3023175477981566,0.4381502866744995,3.820395781424733e-05,3.6481906136032194e-05,3.300438402220607e-05,4.266060932422988e-05,0.00029181642967343136,0.00026670776423998177,0.0001971010642591864,0.00034578307531774044,299.2729776423343,299.2643866740482,-0.12138634190996157,-0.106104919599874,268.2147852867953,272.2391335120568,,,clear_sky,0.9370277078085643,299.0,299.5,0,sst_299_299.5,0.0,0.0,0.0,0.0,0.0
sst_omega,sst_299_299.5,,weak_ascent,396,34218.0,86.4090909090909,-1.5708685045629138,-1.5836268067359924,0.41689919489156346,-2.0322797298431396,-1.7953005731105804,-1.3570431470870972,-1.1733582019805908,0.4382574260234833,3.7279289803006e-05,3.5946713978773914e-05,3.1912309168546926e-05,4.1104629417532124e-05,0.00025286389094011,0.0002303004657733254,0.0001802304723241832,0.00029988283495185897,299.27127246842775,299.2607313276778,-0.028654648251952516,-0.028457755321185475,275.86132711247996,278.0718541375522,,,clear_sky,0.9722222222222222,299.0,299.5,1,sst_299_299.5,0.0,0.0,0.0,0.0,0.0
sst_omega,sst_299_299.5,,neutral,384,22084.0,57.510416666666664,-1.5680595641412463,-1.5466622114181519,0.38665121468322017,-2.013522434234619,-1.8077662885189056,-1.3538309335708618,-1.1553940415382384,0.4539353549480438,3.666002856779945e-05,3.6164587072562426e-05,3.201999425073154e-05,4.066860674356576e-05,0.0002507574131035047,0.00022720751439919695,0.0001762586471159011,0.0003001319491886534,299.2689973237937,299.26006788526263,7.013910504066356e-05,0.00010717822508148438,276.39823592242055,278.62780981445314,,,clear_sky,0.9713541666666666,299.0,299.5,2,sst_299_299.5,0.0,0.0,0.0,0.0,0.0
sst_omega,sst_299_299.5,,weak_subsidence,397,44670.0,112.51889168765743,-1.53324391664726,-1.506427526473999,0.35648077901614594,-2.0035287857055666,-1.7672260999679565,-1.2969599962234497,-1.145416736602783,0.47026610374450684,3.7193813773629524e-05,3.631659274105914e-05,3.2041069061961025e-05,4.1477065678918734e-05,0.0002432110548315286,0.00022068643011152744,0.0001753532123984769,0.00028757957625202835,299.27145826292644,299.2614823638416,0.02982904588232101,0.029631012201386413,276.6201735747894,278.80589075582435,,,clear_sky,0.982367758186398,299.0,299.5,3,sst_299_299.5,0.0,0.0,0.0,0.0,0.0
sst_omega,sst_299_299.5,,strong_subsidence,403,60777.0,150.81141439205956,-1.558931594746876,-1.5357996225357056,0.35492753720860976,-2.009818506240845,-1.779944121837616,-1.3211039900779724,-1.1367998123168945,0.45884013175964355,3.706447167417223e-05,3.610100975492969e-05,3.2073374313768e-05,4.1782634070841596e-05,0.0002544596272381485,0.00022624555276706815,0.00017195683903992176,0.00030242571665439755,299.27417723798567,299.25926717122394,0.10175955833446165,0.09948870576378228,273.3062226698909,276.3212954872533,,,clear_sky,0.9602977667493796,299.0,299.5,4,sst_299_299.5,0.0,0.0,0.0,0.0,0.0
sst_omega,sst_299.5_300,,strong_ascent,428,41935.0,97.97897196261682,-1.739516986795118,-1.7566613554954529,0.3820518280840829,-2.1408495903015137,-1.9563519060611725,-1.5327751338481903,-1.3604990363121032,0.4235767722129822,4.006649302053154e-05,3.8989541280898266e-05,3.5083075090369675e-05,4.4274580432102084e-05,0.0003197987090851856,0.0002997543051606044,0.00022467317103291862,0.00038297718128887936,299.7687481843241,299.7623897371246,-0.13466864070477255,-0.11956475870867495,264.4059932506567,268.0226152088404,,,clear_sky,0.9112149532710281,299.5,300.0,0,sst_299_299.5,-0.022815098627830377,-0.02622145414352417,1.8625352062842088e-06,2.7982279411754222e-05,-3.808792036138584
sst_omega,sst_299.5_300,,weak_ascent,420,42093.0,100.22142857142858,-1.6234467045404017,-1.5996896028518677,0.3617832442343651,-2.083325457572937,-1.834686279296875,-1.3909705579280853,-1.255643844604492,0.4437157213687897,3.869418293713049e-05,3.796727651206311e-05,3.390770416444866e-05,4.305474431021139e-05,0.00027806798954684166,0.0002519587869755924,0.000198229343368439,0.00033520686702104285,299.767789102139,299.7594556322285,-0.02852580207859189,-0.02855901928345484,273.74636136048025,276.2921253505506,,,clear_sky,0.9595238095238096,299.5,300.0,1,sst_299_299.5,-0.052578199977487916,-0.016062796115875244,1.414893134124489e-06,2.5204098606731637e-05,-2.114965751999705
sst_omega,sst_299.5_300,,neutral,414,26755.0,64.6256038647343,-1.5906767996325009,-1.5709322094917297,0.39543057739072873,-2.002721834182739,-1.815209150314331,-1.3640035688877106,-1.1859398007392883,0.4512055814266205,3.8781202261895445e-05,3.802954051934648e-05,3.401908907108009e-05,4.313003591960296e-05,0.00027574155155713707,0.00024606334045529366,0.0001927738449012395,0.0003157357350573875,299.76829891624163,299.7583439566872,0.00015514089571571035,0.00012507029363533924,274.5184460856614,276.4557841361837,,,clear_sky,0.966183574879227,299.5,300.0,2,sst_299_299.5,-0.022617235491254606,-0.02426999807357788,2.121173694095994e-06,2.498413845363238e-05,-1.8797898367591301
sst_omega,sst_299.5_300,,weak_subsidence,417,54142.0,129.8369304556355,-1.5439541153341747,-1.5209999084472656,0.35080354660092045,-1.9554434061050414,-1.7738558053970337,-1.3290438652038574,-1.1519426584243775,0.44481194019317627,3.853817090346886e-05,3.772843410843052e-05,3.431577715673484e-05,4.2912546632578596e-05,0.0002602783070025855,0.0002370226866332814,0.00019000556494574994,0.00030826119473204017,299.7672522601709,299.75953936336015,0.02951132111088164,0.029470140223565977,275.1400037147813,277.53492431640626,,,clear_sky,0.9760191846522782,299.5,300.0,3,sst_299_299.5,-0.010710198686914696,-0.014572381973266602,1.3443571298393385e-06,1.706725217105688e-05,-1.4801698600081181
sst_omega,sst_299.5_300,,strong_subsidence,432,75409.0,174.55787037037038,-1.584880921161837,-1.541641891002655,0.40731681962764704,-2.063005542755127,-1.7872638702392578,-1.3599731028079987,-1.1649761438369746,0.42729076743125916,3.9363415613412076e-05,3.8537868022103794e-05,3.416700928937644e-05,4.3569085391936824e-05,0.00028724923072331876,0.0002478716050973162,0.00019256400628364645,0.0003277646392234601,299.76888391938627,299.75956087885675,0.10259288100669475,0.10048656021406638,271.4843710719578,274.7234151367269,,,clear_sky,0.9490740740740741,299.5,300.0,4,sst_299_299.5,-0.02594932641496106,-0.005842268466949463,2.2989439392398462e-06,3.2789603485170284e-05,-1.8218515979330618
