record_type,group_type,region,sst_bin,omega_bin,n_samples,n_blocks,n_raw_profiles_total,bootstrap_method,dlnq_mean_point,dlnq_mean_boot_mean,dlnq_mean_se,dlnq_mean_ci_lo,dlnq_mean_ci_hi,dlnq_median_point,dlnq_median_ci_lo,dlnq_median_ci_hi,q_uut_point,q_lut_point,mean_olr_point,sst_sort_lo,sst_sort_hi,omega_sort,warm_sst_bin,ref_sst_bin,n_warm,n_ref,n_warm_blocks,n_ref_blocks,ddlnq_mean_point,ddlnq_mean_ci_lo,ddlnq_mean_ci_hi,ddlnq_mean_se,ddlnq_median_point,ddlnq_median_ci_lo,ddlnq_median_ci_hi,robust_95_mean,dq_uut_point,dq_lut_point,q_uut_ref_point,q_uut_warm_point,q_lut_ref_point,q_lut_warm_point,pct_dq_uut,pct_dq_lut,dmean_olr_point
difference,diff_sst_omega,all,,strong_ascent,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,72.0,72.0,24.0,24.0,-0.06106572681003186,-0.12281698304525873,-0.007642212888462679,0.03059253205440578,-0.0280306339263916,-0.08996595442295074,0.028630068898200977,True,4.579716915031895e-06,7.191574655330949e-05,5.8144741109976574e-05,6.272445802500847e-05,0.0006295180990289535,0.000701433845582263,7.87640778444553,11.42393628781146,-3.1864081115466263
difference,diff_sst_omega,all,,weak_ascent,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,72.0,72.0,24.0,24.0,-0.12958666019969511,-0.22707321776789322,-0.045352505131406956,0.0464265940048272,-0.11960268020629883,-0.22193236500024796,-0.032274681329727196,True,5.043954590493944e-06,8.619457932784117e-05,5.219769329616813e-05,5.7241647886662074e-05,0.0005077647907051465,0.0005939593700329877,9.663175270743666,16.975296614824448,-4.875277637145501
difference,diff_sst_omega,all,,neutral,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,72.0,72.0,24.0,24.0,-0.13519449366463543,-0.23676707945242115,-0.04068958720499979,0.05073564331445627,-0.11291104555130005,-0.22761325240135194,-0.017671488225460073,True,5.04148127017996e-06,7.477651646089123e-05,5.17046352494314e-05,5.674611651961136e-05,0.0004899452509966472,0.0005647217674575384,9.75054024819835,15.262218851755529,-6.1564342128934015
difference,diff_sst_omega,all,,weak_subsidence,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,72.0,72.0,24.0,24.0,-0.13098995553122617,-0.23507224777396754,-0.03926006446793788,0.05022655787564648,-0.1432729959487915,-0.24841506034135818,-0.023004692792892467,True,5.121991913862686e-06,7.78064079188173e-05,5.149699897325869e-05,5.661899088712138e-05,0.0004873581338971336,0.0005651645418159509,9.94619495501559,15.964934717851628,-5.723671590986328
difference,diff_sst_omega,all,,strong_subsidence,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,72.0,72.0,24.0,24.0,-0.1222657263278959,-0.21990914044454535,-0.03374790553880106,0.046640993967417714,-0.1108594536781311,-0.23325366377830506,-0.005826213955879217,True,4.737943830453638e-06,7.415069558192044e-05,5.370917516403198e-05,5.8447118994485616e-05,0.0005173867713084393,0.0005915374668903598,8.82147941386847,14.331772610729473,-4.101957483547693
difference,diff_sst_only,all,,all,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,360.0,360.0,24.0,24.0,-0.1158205125066969,-0.21916689177976756,-0.03938517233124602,0.04680268955222447,-0.10648304224014282,-0.21946181058883668,-0.0034373432397843064,True,4.905017704004422e-06,7.696878916855587e-05,5.345064875857336e-05,5.835566646257778e-05,0.000526394609187264,0.0006033633983558199,9.17672248686723,14.621880206446862,-4.808749807223876
group,sst_omega,nan,sst_297_300,strong_ascent,44.0,22.0,3967.0,block,-1.675942023369399,-1.6732560726316579,0.10825255619297161,-1.8727179355510444,-1.4412570640799545,-1.8195617198944092,-1.9641873836517334,-1.496954955160618,4.21336504917814e-05,0.0003302246196571187,260.8614395647669,297.0,300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,weak_ascent,42.0,21.0,3408.0,block,-1.513074397552936,-1.5102452449259336,0.11261371232350906,-1.7130790175608126,-1.270578540304007,-1.5614608526229858,-1.7614264488220215,-1.2756951451301575,3.8799547361295915e-05,0.0002720805309114179,274.2068753577561,297.0,300.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,neutral,39.0,19.0,2223.0,block,-1.5337737477742708,-1.5253746058924904,0.09891196893961028,-1.715722168727619,-1.312578969941239,-1.5165516138076782,-1.8273730739951133,-1.2992514371871948,3.944039422211249e-05,0.0002908898711141844,272.75981106426246,297.0,300.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,weak_subsidence,41.0,21.0,4543.0,block,-1.4298889353507902,-1.434000975348374,0.08392497865988198,-1.5902164097910798,-1.2636053551410673,-1.4013144969940186,-1.5861574411392212,-1.183643874526024,4.021942177354415e-05,0.0002552501968372182,275.03408220599033,297.0,300.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,strong_subsidence,46.0,22.0,7450.0,block,-1.4699727332462436,-1.4643151943084447,0.10048498245517261,-1.6558111798290462,-1.2602499844940613,-1.5289736986160278,-1.7488657236099243,-1.2755476236343384,4.0773297294673164e-05,0.000282060446530206,268.8699107399658,297.0,300.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,strong_ascent,72.0,24.0,116743.0,block,-2.1101127598020764,-2.108912521994758,0.02810367242278661,-2.156512496777271,-2.0500364840934604,-2.1395628452301025,-2.199079638719559,-2.0858658462762834,5.8144741109976574e-05,0.0006295180990289535,223.20115095320358,300.0,303.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,weak_ascent,72.0,24.0,52368.0,block,-1.959840468234486,-1.9582050937443822,0.04089445640408587,-2.032584373125943,-1.876694385130559,-1.9671140909194946,-2.053060531616211,-1.8775832653045654,5.219769329616813e-05,0.0005077647907051465,245.53874343886076,300.0,303.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,neutral,72.0,24.0,31854.0,block,-1.9211946328481038,-1.9176759034658257,0.04346533547518456,-2.003336327411234,-1.8291232079442297,-1.9429306387901306,-2.0146478563547134,-1.855609655380249,5.17046352494314e-05,0.0004899452509966472,247.55001344194145,300.0,303.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,weak_subsidence,72.0,24.0,65325.0,block,-1.9122905648416944,-1.9087760019552793,0.04301890050735567,-1.9870149730753868,-1.8181121424292075,-1.929573655128479,-2.023074150085449,-1.830807089805603,5.149699897325869e-05,0.0004873581338971336,248.26695871074512,300.0,303.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,strong_subsidence,72.0,24.0,128183.0,block,-1.9415063891145918,-1.9399052207546925,0.041597815989777326,-2.015650251183498,-1.8502824665732025,-1.9690009951591492,-2.0635039806365967,-1.8489465713500977,5.370917516403198e-05,0.0005173867713084393,241.94466341768324,300.0,303.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_303_305,strong_ascent,72.0,24.0,37412.0,block,-2.171178486612108,-2.1705423815367673,0.013422906817203914,-2.1941714135390935,-2.142070803124884,-2.167593479156494,-2.201953411102295,-2.1502442359924316,6.272445802500847e-05,0.000701433845582263,220.01474284165695,303.0,305.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
