n_slope,slope,n_curve,curvature,vertex,breakpoint,kernel,label,note,n_profiles,n_aggregates
13313,-0.1321286187077846,17480,0.034834754480024537,303.31310052956076,302.60000000000036,303.3000000000005,ALL SEASONS,full sample,3356306,30734
10910,-0.14140528770069932,12718,0.029444931747838344,303.78898571062416,302.4000000000003,303.90000000000066,DJF,,840186,22315
11617,-0.1326716967572169,14802,0.03941686240417451,303.1454708187994,302.90000000000043,303.3000000000005,MAM,,837385,22542
10364,-0.16972658068009178,12497,0.04341593718515285,303.4128420019301,302.3000000000003,303.6000000000006,JJA,,838341,22240
10660,-0.12660544684086658,13008,0.03369985507993113,303.36377433985024,303.00000000000045,303.50000000000057,SON,,840394,21658
