label,n_aggregates,tiles,slope,slope_lo,slope_hi,slope_robust_negative,kernel,kernel_lo,kernel_hi
DJF,22315,132,-0.14140528770069932,-0.16288667272545418,-0.11782551580022181,True,303.90000000000066,303.50000000000057,304.5000000000008
MAM,22542,132,-0.1326716967572169,-0.15421990059824375,-0.11345328751092569,True,303.3000000000005,303.00000000000045,304.0000000000007
JJA,22240,125,-0.16972658068009178,-0.19815688261696493,-0.14128638311917555,True,303.6000000000006,303.2975000000005,304.5000000000008
SON,21658,125,-0.12660544684086658,-0.14907768153398399,-0.10339559414297395,True,303.50000000000057,303.2000000000005,304.2000000000007
El Nino,27314,131,-0.14469866704868092,-0.1633958070545661,-0.12688006102130367,True,303.2000000000005,302.90000000000043,303.6000000000006
neutral,27721,132,-0.1305460435937193,-0.15101687924474858,-0.11059973411726771,True,303.40000000000055,303.00000000000045,304.5000000000008
La Nina,26486,130,-0.1314679299873925,-0.15222959432283753,-0.11150897865923998,True,303.40000000000055,303.00000000000045,304.5000000000008
