year,profiles,cells,share_pct
2004,3624.0,166.0,1.5
2005,12375.0,270.0,5.2
2006,9087.0,252.0,3.8
2007,10799.0,242.0,4.5
2008,4911.0,205.0,2.1
2009,10514.0,259.0,4.4
2010,15745.0,275.0,6.6
2011,4744.0,204.0,2.0
2012,8150.0,241.0,3.4
2013,10545.0,232.0,4.4
2014,13016.0,245.0,5.4
2015,15703.0,301.0,6.6
2016,21855.0,306.0,9.1
2017,14244.0,250.0,6.0
2018,10779.0,225.0,4.5
2019,15240.0,284.0,6.4
2020,18154.0,280.0,7.6
2021,10741.0,222.0,4.5
2022,10998.0,231.0,4.6
2023,18162.0,294.0,7.6
