n_slope,slope,n_curve,curvature,vertex,breakpoint,kernel,label,note,n_profiles,n_aggregates
13313,-0.1321286187077846,17480,0.034834754480024537,303.31310052956076,302.60000000000036,303.3000000000005,ALL PHASES,full sample,3356306,30734
12788,-0.14469866704868092,16513,0.04787400438453489,302.95931535696855,302.60000000000036,303.2000000000005,El Nino,,896254,27314
12622,-0.1305460435937193,16006,0.032812701262135466,303.38370842833643,302.4000000000003,303.40000000000055,neutral,,1385119,27721
11900,-0.1314679299873925,14436,0.03115791770666498,303.4725856169506,302.8000000000004,303.40000000000055,La Nina,,1074933,26486
