n_slope,slope,n_curve,curvature,vertex,breakpoint,kernel,label,note,n_profiles,n_aggregates
2032,-0.18889988434121535,3039,0.05910381856901855,303.1135845593697,302.60000000000036,303.1000000000005,ALL SEASONS,full sample,530968,3735
1788,-0.22095484860446893,2485,0.06782633911469282,303.2674602150115,302.4000000000003,303.6000000000006,DJF,,130183,2650
1842,-0.2158829148132875,2572,0.06605159023643956,303.1821396435555,302.4000000000003,303.3000000000005,MAM,,128591,2778
1693,-0.1133013711032724,2297,0.058199160741319055,302.60101178376465,303.00000000000045,302.90000000000043,JJA,,134645,2814
1700,-0.13674556673277138,2528,0.05247808181339035,303.00129721115326,303.1000000000005,303.3000000000005,SON,,137549,2913
