n_slope,slope,n_curve,curvature,vertex,breakpoint,kernel,label,note,n_profiles,n_aggregates
2032,-0.18889988434121535,3039,0.05910381856901855,303.1135845593697,302.60000000000036,303.1000000000005,ALL PHASES,full sample,530968,3735
1882,-0.20598362585670804,2764,0.08046366088612027,302.8232244012335,302.4000000000003,302.8000000000004,El Nino,,141981,3267
1894,-0.1684584923402568,2777,0.05239334171206559,303.09573381457193,302.4000000000003,303.1000000000005,neutral,,217829,3336
1875,-0.2308389030333621,2700,0.0591772012228719,303.4583431663188,302.50000000000034,303.50000000000057,La Nina,,171158,3175
