label,n_aggregates,tiles,slope,slope_lo,slope_hi,slope_robust_negative,kernel,kernel_lo,kernel_hi
DJF,2650,24,-0.22095484860446893,-0.28230190098489494,-0.14593653176104715,True,303.6000000000006,303.2000000000005,304.0000000000007
MAM,2778,24,-0.2158829148132875,-0.2664046149605972,-0.16124237219692328,True,303.3000000000005,303.00000000000045,304.5000000000008
JJA,2814,24,-0.1133013711032724,-0.1660987978971531,-0.062138940146215946,True,302.90000000000043,302.2000000000003,303.6000000000006
SON,2913,24,-0.13674556673277138,-0.19515316746866596,-0.08007912917254498,True,303.3000000000005,303.1000000000005,303.7000000000006
El Nino,3267,24,-0.20598362585670804,-0.2703667116419727,-0.14623823079026882,True,302.8000000000004,302.60000000000036,303.1000000000005
neutral,3336,24,-0.1684584923402568,-0.226259280189808,-0.11294479476515765,True,303.1000000000005,302.8000000000004,303.6000000000006
La Nina,3175,24,-0.2308389030333621,-0.2888264221212957,-0.16985392958724782,True,303.50000000000057,303.2000000000005,304.5000000000008
