group_type,sst_bin,region,omega_bin,n_samples,n_raw_profiles_total,mean_profiles_per_sample,dlnq_mean_of_samples,dlnq_median_of_samples,dlnq_std,dlnq_p10,dlnq_p25,dlnq_p75,dlnq_p90,dlnq_iqr,q_uut_mean_group,q_uut_median_group,q_uut_p25,q_uut_p75,q_lut_mean_group,q_lut_median_group,q_lut_p25,q_lut_p75,mean_sst_group_mean,mean_sst_group_median,mean_omega_group_mean,mean_omega_group_median,mean_olr_group_mean,mean_olr_group_median,dominant_olr_fraction_group_mean,dominant_olr_fraction_group_median,dominant_olr_bin_group,dominant_olr_bin_group_fraction,sst_sort_lo,sst_sort_hi,omega_sort,reference_sst_bin,delta_dlnq_mean_vs_ref,delta_dlnq_median_vs_ref,delta_q_uut_mean_vs_ref,delta_q_lut_mean_vs_ref,delta_mean_olr_vs_ref
sst_omega,sst_296_296.5,,weak_ascent,164,8086.0,49.30487804878049,-1.517760209466626,-1.4703669548034668,0.48732338437847345,-2.030041980743408,-1.824405312538147,-1.243897944688797,-1.072548520565033,0.58050736784935,3.2715271300930466e-05,3.268839282100089e-05,2.8268073492654366e-05,3.509190628392389e-05,0.0002103974757174888,0.0001798054508981295,0.00014061267211218365,0.00025090931012528017,296.27651261205096,296.2693569377317,-0.028203745979103065,-0.02783783228494642,277.86909955914905,280.0156498983632,,,clear_sky,0.9878048780487805,296.0,296.5,1,sst_300_300.5,0.14974010165634466,0.16805434226989746,-8.150579786769527e-06,-0.0001009631515208463,7.517577850781379
sst_omega,sst_296_296.5,,neutral,157,5296.0,33.732484076433124,-1.514283405272824,-1.4723904132843018,0.4691949216301287,-2.064199209213257,-1.7754473686218262,-1.2174594402313232,-0.9975447416305542,0.5579879283905029,3.233737998537661e-05,3.186590038239956e-05,2.8330774512141943e-05,3.5993114579468966e-05,0.00020056548002140765,0.00018597888993099332,0.00013831921387463808,0.00024363728880416602,296.2802464919405,296.2652975546347,0.00020315442125653024,0.0003762342425159596,277.3618043848674,280.06795077853735,,,clear_sky,0.9745222929936306,296.0,296.5,2,sst_300_300.5,0.13272111949185317,0.14572983980178833,-8.412688313190448e-06,-0.00010287425571105864,5.637762558706868
sst_omega,sst_296_296.5,,weak_subsidence,175,10848.0,61.988571428571426,-1.4962899162088121,-1.4412328004837036,0.48302838543922694,-2.0539225578308105,-1.7677564024925232,-1.1978358030319214,-0.9876319289207458,0.5699205994606018,3.344922380035444e-05,3.1983989174477756e-05,2.8493810532381758e-05,3.541716796462424e-05,0.00021156755282260878,0.00017586398462299258,0.00013560173829318956,0.00025385330081917346,296.28250887221583,296.2690000791807,0.02881362127631723,0.02945977782544035,277.3586009613896,280.12812110559264,,,clear_sky,0.9714285714285714,296.0,296.5,3,sst_300_300.5,0.11811356649042426,0.13954150676727295,-7.054578459712914e-06,-8.238980131522195e-05,5.265236474428491
sst_omega,sst_296_296.5,,strong_subsidence,168,13468.0,80.16666666666667,-1.4435147426335053,-1.3842474222183228,0.5080761123170265,-2.0463295459747313,-1.744292974472046,-1.1481646299362183,-1.0374433636665343,0.5961283445358276,3.170147404251198e-05,3.1373232559417374e-05,2.6228792194160633e-05,3.49902866219054e-05,0.00018603650239258838,0.00017035144264809787,0.00012773529306286946,0.0002265260372951161,296.2828098651576,296.26713076154726,0.0981257889989701,0.09353506523832868,275.99160391803133,279.95510877448623,,,clear_sky,0.9642857142857143,296.0,296.5,4,sst_300_300.5,0.18466976215704278,0.2271021604537964,-9.889147237857567e-06,-0.00012460101172808973,7.840701825112831
sst_omega,sst_296.5_297,,strong_ascent,202,8771.0,43.42079207920792,-1.6200277619801535,-1.6046643257141113,0.5205310866817424,-2.245999479293823,-1.9485534727573395,-1.3173581957817078,-1.1259782671928407,0.6311952769756317,3.276238834641305e-05,3.189617382304277e-05,2.609731654956704e-05,3.620550069172168e-05,0.00022697134821524146,0.00020094415958737954,0.00014995775563875213,0.00026880517543759197,296.7897609099485,296.7708283026419,-0.10146298387790917,-0.08898570727118674,273.7021746915236,277.3136246413606,,,clear_sky,0.9554455445544554,296.5,297.0,0,sst_300_300.5,0.18086555492842704,0.20050060749053955,-1.0043492626544543e-05,-0.0001361802698873291,14.02941468728875
sst_omega,sst_296.5_297,,weak_ascent,200,10451.0,52.255,-1.529967213869095,-1.5189238786697388,0.45660982624417723,-2.0363804578781126,-1.7995432615280151,-1.2526700496673584,-1.0728791594505311,0.5468732118606567,3.3606687320570924e-05,3.235646727262065e-05,2.89696808977169e-05,3.707520227180794e-05,0.00020902204976664507,0.00018909989739768207,0.00014220469529391266,0.000257570092799142,296.7845820342513,296.7721971552423,-0.028637364691941336,-0.02811884036664551,276.54036795944876,279.3245995731677,,,clear_sky,0.965,296.5,297.0,1,sst_300_300.5,0.13753309725387575,0.11949741840362549,-7.259163767129069e-06,-0.00010233857747169004,6.188846251081088
sst_omega,sst_296.5_297,,neutral,183,6788.0,37.09289617486339,-1.4924183349466063,-1.4789503812789917,0.4300295207092536,-2.063201570510864,-1.7080756425857544,-1.255366027355194,-1.037878441810608,0.4527096152305603,3.310671333858776e-05,3.2292173273162916e-05,2.9832553082087543e-05,3.6115709008299746e-05,0.0002005521918825431,0.00017797172768041492,0.00014079190441407263,0.00023569617769680917,296.7768365178428,296.76483609383564,0.000348880244547762,0.0002716219241847284,278.8180245594711,281.1478576660156,,,clear_sky,0.9836065573770492,296.5,297.0,2,sst_300_300.5,0.15458618981807093,0.1391698718070984,-7.643354959979298e-06,-0.00010288754384992318,7.093982733310554
sst_omega,sst_296.5_297,,weak_subsidence,197,13818.0,70.14213197969544,-1.4845298600529657,-1.4414448738098145,0.4172861629256076,-2.005974769592285,-1.7673962116241455,-1.2146960496902466,-1.0382725238800048,0.5527001619338989,3.2721163189321696e-05,3.198070407961495e-05,2.757846777967643e-05,3.539356112014502e-05,0.00020110788081261757,0.00018022491713054478,0.00013453123392537236,0.00025396980345249176,296.77879074214746,296.76566714332216,0.02913155309471457,0.029170085003392562,278.17018177727397,280.9538094656808,,,clear_sky,0.9847715736040609,296.5,297.0,3,sst_300_300.5,0.12987362264627067,0.1393294334411621,-7.782639070745658e-06,-9.284947332521316e-05,6.076817290312874
sst_omega,sst_296.5_297,,strong_subsidence,206,17277.0,83.86893203883496,-1.4412478564004187,-1.4402236342430115,0.5388546779461236,-2.0011083483695984,-1.7829391062259674,-1.1488436460494995,-0.9579871594905853,0.6340954601764679,3.2083462521715546e-05,3.151471901219338e-05,2.6215383059025044e-05,3.553901206032606e-05,0.000190931707404991,0.00017234494589501992,0.00012544129276648164,0.00023102267368813045,296.78594284658317,296.7658648168142,0.10070630657556483,0.09637373517642715,277.4106218934604,280.6710001935519,,,clear_sky,0.9757281553398058,296.5,297.0,4,sst_300_300.5,0.18693664839012936,0.17112594842910767,-9.507158758653998e-06,-0.0001197058067156871,9.259719800541916
sst_omega,sst_297_297.5,,strong_ascent,240,11795.0,49.145833333333336,-1.66456143866914,-1.6582889556884766,0.440790818392152,-2.1567139625549316,-1.9331113994121552,-1.3618811666965485,-1.1817082405090333,0.5712302327156067,3.331879438898492e-05,3.2224277674686164e-05,2.8818473765568342e-05,3.729116815520683e-05,0.00023864542962807414,0.00021707730775233358,0.00016173873882507905,0.00028141502116341144,297.28577323371127,297.2736707188949,-0.10857735062857927,-0.09383799154311417,273.964568786663,277.4493064880371,,,clear_sky,0.9666666666666667,297.0,297.5,0,sst_300_300.5,0.13633187823944048,0.14687597751617432,-9.48708658397267e-06,-0.00012450618847449643,14.29180878242812
