record_type,group_type,region,sst_bin,omega_bin,n_samples,n_blocks,n_raw_profiles_total,bootstrap_method,dlnq_mean_point,dlnq_mean_boot_mean,dlnq_mean_se,dlnq_mean_ci_lo,dlnq_mean_ci_hi,dlnq_median_point,dlnq_median_ci_lo,dlnq_median_ci_hi,q_uut_point,q_lut_point,mean_olr_point,sst_sort_lo,sst_sort_hi,omega_sort,warm_sst_bin,ref_sst_bin,n_warm,n_ref,n_warm_blocks,n_ref_blocks,ddlnq_mean_point,ddlnq_mean_ci_lo,ddlnq_mean_ci_hi,ddlnq_mean_se,ddlnq_median_point,ddlnq_median_ci_lo,ddlnq_median_ci_hi,robust_95_mean,dq_uut_point,dq_lut_point,q_uut_ref_point,q_uut_warm_point,q_lut_ref_point,q_lut_warm_point,pct_dq_uut,pct_dq_lut,dmean_olr_point
difference,diff_sst_omega,all,,strong_ascent,,,,block,,,,,,,,,,,,,,,sst_300_303,sst_297_300,475.0,440.0,131.0,130.0,-0.2517993240856955,-0.3157209238857245,-0.1893923880245886,0.032335683348446685,-0.2486172914505005,-0.3484122008085251,-0.1776728630065918,True,1.3411391118441302e-05,0.00020587425995777204,3.80942839208067e-05,5.1505675039248e-05,0.0002930385149325461,0.0004989127748903182,35.205783487942504,70.2550175034711,-24.46998491802509
difference,diff_sst_omega,all,,weak_ascent,,,,block,,,,,,,,,,,,,,,sst_300_303,sst_297_300,475.0,431.0,131.0,127.0,-0.2179622007718558,-0.28490474987149655,-0.15282154162164036,0.03284591837780325,-0.22699904441833496,-0.31350563168525697,-0.14611112773418428,True,9.445626571811473e-06,0.00014204616695660528,3.710877284809532e-05,4.655439941990679e-05,0.00025909956997536497,0.00040114573693197025,25.45389094507955,54.8230037472123,-15.089844371565448
difference,diff_sst_omega,all,,neutral,,,,block,,,,,,,,,,,,,,,sst_300_303,sst_297_300,474.0,427.0,131.0,125.0,-0.2194524968102991,-0.2852611537628242,-0.15027649916347757,0.033757252433636246,-0.23658180236816406,-0.3072741344571114,-0.15511087924242023,True,9.145277056734157e-06,0.00013084166770583434,3.700205357677131e-05,4.614733063350547e-05,0.0002565716198110553,0.00038741328751688966,24.715593251492578,50.99615764291813,-13.785925378754712
difference,diff_sst_omega,all,,weak_subsidence,,,,block,,,,,,,,,,,,,,,sst_300_303,sst_297_300,476.0,431.0,132.0,127.0,-0.24163837759037232,-0.3075336820435335,-0.1745504435019938,0.03258162111530054,-0.2620275616645813,-0.32469857633113863,-0.17377384155988693,True,9.063448364427011e-06,0.0001399373741875626,3.694892464265856e-05,4.601237300708557e-05,0.00024085515756933873,0.00038079253175690134,24.52966751287535,58.100219069328695,-14.121203188835068
difference,diff_sst_omega,all,,strong_subsidence,,,,block,,,,,,,,,,,,,,,sst_300_303,sst_297_300,477.0,445.0,132.0,129.0,-0.22890135838391923,-0.29936989380208484,-0.16208008335130764,0.03546425658101383,-0.29563820362091064,-0.3667242482304573,-0.20148832201957703,True,1.0563390119942949e-05,0.00014311522808380746,3.735497868158776e-05,4.791836880153071e-05,0.0002659322774715282,0.00040904750555533566,28.278399540754222,53.816418768169264,-16.06108964848653
difference,diff_sst_only,all,,all,,,,block,,,,,,,,,,,,,,,sst_300_303,sst_297_300,2377.0,2174.0,132.0,130.0,-0.23157192758089895,-0.2896050859534497,-0.17228796827650827,0.030815852828996314,-0.2643386125564575,-0.3367304027080536,-0.1915243148803711,True,1.032183980033697e-05,0.00015220056022345352,3.730597743066135e-05,4.762781723099832e-05,0.0002632536243220967,0.0004154541845455502,27.668058877485862,57.8151813162628,-16.6694192232128
group,sst_omega,nan,sst_297_300,strong_ascent,440.0,130.0,148905.0,block,-1.7026378687809813,-1.7032163696775704,0.02705733402628243,-1.7538545301413098,-1.6480531348081682,-1.7302976846694946,-1.7855325415730476,-1.6471775442361833,3.80942839208067e-05,0.0002930385149325461,266.580748648302,297.0,300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,weak_ascent,431.0,127.0,155507.0,block,-1.596297902554239,-1.5966523472149659,0.025503787887986296,-1.6456844177518422,-1.5480652598614233,-1.5837149620056152,-1.6367840766906738,-1.5307879030704499,3.710877284809532e-05,0.00025909956997536497,275.121541403673,297.0,300.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,neutral,427.0,125.0,100782.0,block,-1.5612839182590155,-1.560404149614638,0.026611688965991417,-1.6118777542377691,-1.5112897732716843,-1.5433392524719238,-1.601036787033081,-1.5001473858952523,3.700205357677131e-05,0.0002565716198110553,275.3885475092634,297.0,300.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,weak_subsidence,431.0,127.0,203232.0,block,-1.5191903899136385,-1.5194683739935548,0.02444431197375738,-1.5667343932907563,-1.472077738234222,-1.5034172534942627,-1.564731402695179,-1.4536398649215698,3.694892464265856e-05,0.00024085515756933873,276.3395270661586,297.0,300.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,strong_subsidence,445.0,129.0,271873.0,block,-1.559991907035367,-1.5586471486707738,0.029887888129594063,-1.6190662674339233,-1.4995534775320816,-1.5057423114776611,-1.5694904327392578,-1.4502702951431274,3.735497868158776e-05,0.0002659322774715282,272.46248954848255,297.0,300.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,strong_ascent,475.0,131.0,519756.0,block,-1.9544371928666768,-1.954474087952173,0.017776538309218347,-1.989804999445013,-1.920147374308522,-1.9789149761199951,-2.0369918942451477,-1.9438844919204712,5.1505675039248e-05,0.0004989127748903182,242.11076373027691,300.0,303.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,weak_ascent,475.0,131.0,311946.0,block,-1.8142601033260948,-1.815470942105675,0.019892634010495045,-1.8552626030715287,-1.7776694932087143,-1.8107140064239502,-1.8733431100845337,-1.754883360862732,4.655439941990679e-05,0.00040114573693197025,260.03169703210756,300.0,303.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,neutral,474.0,131.0,193992.0,block,-1.7807364150693146,-1.7800941694134793,0.020623867785904606,-1.819774484053255,-1.7381252029138952,-1.779921054840088,-1.8369814157485962,-1.7250836119055748,4.614733063350547e-05,0.00038741328751688966,261.6026221305087,300.0,303.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
