methods,group_type,region,sst_bin,omega_bin,n_samples,dlnq_mean_point,sst_sort_lo,sst_sort_hi,omega_sort,ci_width_iid,n_blocks_spatial10,ci_width_spatial10,n_blocks_spatial20,ci_width_spatial20,record_type,width_ratio_spatial10_over_iid,width_ratio_spatial20_over_iid,warm_sst_bin,ref_sst_bin,n_warm,n_ref,ddlnq_mean_point,robust_iid,robust_spatial10,robust_spatial20,robust_flip,ctx_label
iid+spatial10+spatial20,sst_only,nan,sst_297_300,all,2174.0,-1.5882248151079232,297.0,300.0,0.0,0.0315562090109911,130.0,0.09585969794404137,36.0,0.14145086189830725,group,3.037744423313118,4.482504912077354,,,,,,,,,,
iid+spatial10+spatial20,sst_only,nan,sst_300_303,all,2377.0,-1.8197967426888222,300.0,303.0,0.0,0.02136490342305586,132.0,0.07736957983636117,36.0,0.11304061163115064,group,3.6213400222005245,5.29094887034047,,,,,,,,,,
iid+spatial10+spatial20,sst_only,nan,sst_303_305,all,1697.0,-1.971554339817809,303.0,305.0,0.0,0.03147834529400506,114.0,0.06973989316942908,34.0,0.09171884145742171,group,2.215487901859657,2.913712286995252,,,,,,,,,,
iid+spatial10+spatial20,sst_only,nan,sst_305_307,all,67.0,-1.7794144300382528,305.0,307.0,4.0,0.28154785146019345,15.0,0.28127982245690397,10.0,0.316760886485002,group,0.9990480161652827,1.1250694503338703,,,,,,,,,,
iid+spatial10+spatial20,diff_sst_omega,all,,neutral,,,,,,0.09050521820892271,,0.1349846545993466,,0.17444105914824118,difference,1.4914571476723844,1.927414381185851,sst_300_303,sst_297_300,474.0,427.0,-0.2194524968102991,True,True,True,False,neutral
iid+spatial10+spatial20,diff_sst_omega,all,,strong_ascent,,,,,,0.08057871271229608,,0.12632853586113588,,0.18187532906575357,difference,1.5677656245538223,2.257113857292981,sst_300_303,sst_297_300,475.0,440.0,-0.2517993240856955,True,True,True,False,strong_ascent
iid+spatial10+spatial20,diff_sst_omega,all,,strong_subsidence,,,,,,0.09059764006846102,,0.1372898104507772,,0.2044356825426452,difference,1.5153795435182724,2.256523264713753,sst_300_303,sst_297_300,477.0,445.0,-0.22890135838391923,True,True,True,False,strong_subsidence
iid+spatial10+spatial20,diff_sst_omega,all,,weak_ascent,,,,,,0.07760938218136262,,0.1320832082498562,,0.18802487545721155,difference,1.7018974322098792,2.4227080563252374,sst_300_303,sst_297_300,475.0,431.0,-0.2179622007718558,True,True,True,False,weak_ascent
iid+spatial10+spatial20,diff_sst_omega,all,,weak_subsidence,,,,,,0.07379583496795833,,0.13298323854153968,,0.18257048815426555,difference,1.8020426030721128,2.4739944772430107,sst_300_303,sst_297_300,476.0,431.0,-0.24163837759037232,True,True,True,False,weak_subsidence
iid+spatial10+spatial20,diff_sst_only,all,,all,,,,,,0.0370738744827154,,0.11731711767694142,,0.1771185970965371,difference,3.1644148153880454,4.777450416710922,sst_300_303,sst_297_300,2377.0,2174.0,-0.23157192758089895,True,True,True,False,pooled (all omega)
