record_type,group_type,region,sst_bin,omega_bin,n_samples,n_blocks,n_raw_profiles_total,bootstrap_method,dlnq_mean_point,dlnq_mean_boot_mean,dlnq_mean_se,dlnq_mean_ci_lo,dlnq_mean_ci_hi,dlnq_median_point,dlnq_median_ci_lo,dlnq_median_ci_hi,q_uut_point,q_lut_point,mean_olr_point,sst_sort_lo,sst_sort_hi,omega_sort,warm_sst_bin,ref_sst_bin,n_warm,n_ref,n_warm_blocks,n_ref_blocks,ddlnq_mean_point,ddlnq_mean_ci_lo,ddlnq_mean_ci_hi,ddlnq_mean_se,ddlnq_median_point,ddlnq_median_ci_lo,ddlnq_median_ci_hi,robust_95_mean,dq_uut_point,dq_lut_point,q_uut_ref_point,q_uut_warm_point,q_lut_ref_point,q_lut_warm_point,pct_dq_uut,pct_dq_lut,dmean_olr_point
group,sst_omega,nan,sst_297_300,strong_subsidence,445.0,445.0,271873.0,block,-1.559991907035367,-1.5599101548381065,0.018874685828583402,-1.5954832894279716,-1.5224472455948257,-1.5057423114776611,-1.54898202419281,-1.4793586671352386,3.735497868158776e-05,0.0002659322774715282,272.46248954848255,297.0,300.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,strong_ascent,475.0,475.0,519756.0,block,-1.9544371928666768,-1.9545475235474736,0.009754597498963504,-1.9726387507601788,-1.934994785528434,-1.9789149761199951,-2.009021043777466,-1.9558156728744507,5.1505675039248e-05,0.0004989127748903182,242.11076373027691,300.0,303.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,weak_ascent,475.0,475.0,311946.0,block,-1.8142601033260948,-1.8142419056987762,0.011956076072448571,-1.8369609788593493,-1.7917691499559503,-1.8107140064239502,-1.8531615734100342,-1.7709342926740645,4.655439941990679e-05,0.00040114573693197025,260.03169703210756,300.0,303.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,neutral,474.0,474.0,193992.0,block,-1.7807364150693146,-1.7808792558732416,0.012566924951606528,-1.8063303149890797,-1.7567418377642139,-1.779921054840088,-1.817101390659809,-1.7496105432510376,4.614733063350547e-05,0.00038741328751688966,261.6026221305087,300.0,303.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,weak_subsidence,476.0,476.0,393056.0,block,-1.7608287675040108,-1.7616677508196408,0.011776975860722004,-1.783774901463204,-1.7387771978410853,-1.765444815158844,-1.7860540747642517,-1.732075707614422,4.601237300708557e-05,0.00038079253175690134,262.21832387732354,300.0,303.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,strong_subsidence,477.0,477.0,656066.0,block,-1.7888932654192862,-1.788887105867298,0.011932021447779974,-1.8122987511897737,-1.7650781331697099,-1.8013805150985718,-1.8332531452178955,-1.7706272602081299,4.791836880153071e-05,0.00040904750555533566,256.401399899996,300.0,303.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_303_305,strong_ascent,344.0,344.0,71905.0,block,-2.0767808789495636,-2.077002327755538,0.01339707066203956,-2.1033826332731542,-2.051981483627555,-2.1175800561904907,-2.133165121078491,-2.0978736877441406,6.08908751896812e-05,0.0006315310208667016,233.6938038667988,303.0,305.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_303_305,weak_ascent,337.0,337.0,31728.0,block,-1.9855635592421015,-1.9856480724565708,0.01909853637499002,-2.023908063946209,-1.9466009586563096,-2.0220448970794678,-2.048372745513916,-1.9825374901294708,5.470736009731698e-05,0.0005284890176511427,252.2615952749764,303.0,305.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_303_305,neutral,324.0,324.0,19153.0,block,-1.9235763166007804,-1.9234665680473877,0.020087060018246474,-1.96146128890622,-1.8830724879282952,-1.9823487401008606,-2.0034963101148606,-1.9561841428279876,5.450267585336316e-05,0.0004985636904694045,253.44938092670947,303.0,305.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_303_305,weak_subsidence,339.0,339.0,39097.0,block,-1.919986460022738,-1.9196053849067376,0.01736840961253147,-1.9512675187723563,-1.8846537642572405,-1.950685739517212,-1.9773854970932008,-1.9327654838562012,5.4323882594118085e-05,0.000492690846065209,254.53209703852596,303.0,305.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
